benchmark,step,status,n_problems,n_samples,acc_base,acc_now,mean_conf_all,mean_conf_wrong_now,mean_conf_wrong_base,conf_wrong_delta
aime24,10,gained,1,4,0.25,0.5,0.475,0.0,0.3333333333333333,-0.3333333333333333
aime24,10,regressed,1,4,0.75,0.25,1.0,1.0,1.0,0.0
aime24,10,retained,6,24,0.7916666666666666,0.875,0.9370833333333334,0.65,0.58,0.07000000000000006
aime24,10,still_wrong,22,88,0.022727272727272728,0.03409090909090909,0.4543181818181818,0.43588235294117644,0.5356976744186047,-0.09981532147742828
aime24,20,regressed,1,4,0.75,0.25,0.975,0.9666666666666667,1.0,-0.033333333333333326
aime24,20,retained,6,24,0.7916666666666666,0.7916666666666666,0.9720833333333334,0.9700000000000001,0.58,0.3900000000000001
aime24,20,still_wrong,23,92,0.03260869565217391,0.043478260869565216,0.4641304347826086,0.44090909090909086,0.528876404494382,-0.08796731358529114
aime24,30,gained,3,12,0.08333333333333333,0.5833333333333334,0.8858333333333333,0.7699999999999999,0.7090909090909091,0.0609090909090908
aime24,30,regressed,1,4,0.5,0.25,0.75,0.6666666666666666,0.475,0.19166666666666665
aime24,30,retained,6,24,0.8333333333333334,0.8333333333333334,0.8945833333333333,0.5,0.7375,-0.23750000000000004
aime24,30,still_wrong,20,80,0.025,0.025,0.57175,0.5620512820512821,0.5034615384615385,0.05858974358974356
aime24,40,gained,2,8,0.125,0.5,0.71875,0.4875,0.5542857142857143,-0.06678571428571428
aime24,40,retained,7,28,0.7857142857142857,0.8214285714285714,0.9446428571428571,0.78,0.65,0.13
aime24,40,still_wrong,21,84,0.023809523809523808,0.03571428571428571,0.5672619047619049,0.5518518518518519,0.5267073170731708,0.02514453477868117
aime24,50,gained,2,8,0.0,0.5,0.8625,0.7375,0.735,0.0025000000000000577
aime24,50,regressed,1,4,0.75,0.25,1.0,1.0,1.0,0.0
aime24,50,retained,6,24,0.7916666666666666,0.9166666666666666,0.9354166666666668,0.5,0.58,-0.07999999999999996
aime24,50,still_wrong,21,84,0.03571428571428571,0.023809523809523808,0.446547619047619,0.4342682926829268,0.5085185185185186,-0.07425022583559177
aime24,60,gained,2,8,0.125,0.5,0.73125,0.4875,0.42857142857142855,0.05892857142857144
aime24,60,retained,7,28,0.7857142857142857,0.8571428571428571,0.9457142857142857,0.7375,0.65,0.08750000000000002
aime24,60,still_wrong,21,84,0.023809523809523808,0.03571428571428571,0.5200000000000001,0.5028395061728396,0.537439024390244,-0.03459951821740448
aime24,70,regressed,3,12,0.6666666666666666,0.25,0.6541666666666667,0.5444444444444445,0.4875,0.05694444444444452
aime24,70,retained,4,16,0.875,0.875,0.965625,0.95,0.975,-0.025000000000000022
aime24,70,still_wrong,23,92,0.03260869565217391,0.0,0.5153260869565217,0.5153260869565217,0.528876404494382,-0.01355031753786029
amc24,10,gained,3,6,0.0,0.5,0.9666666666666668,0.9666666666666667,0.9500000000000001,0.016666666666666607
amc24,10,regressed,3,6,0.5,0.0,0.7833333333333332,0.7833333333333332,0.65,0.1333333333333332
amc24,10,retained,24,48,0.7916666666666666,0.8125,0.950625,0.7666666666666667,0.6779999999999999,0.08866666666666678
amc24,10,still_wrong,15,30,0.0,0.0,0.6463333333333332,0.6463333333333332,0.6706666666666666,-0.02433333333333343
amc24,20,gained,1,2,0.0,1.0,1.0,,1.0,
amc24,20,regressed,3,6,0.5,0.0,0.9750000000000001,0.9750000000000001,0.6666666666666666,0.30833333333333346
amc24,20,retained,24,48,0.7916666666666666,0.8125,0.9083333333333333,0.5477777777777777,0.6729999999999999,-0.12522222222222223
amc24,20,still_wrong,17,34,0.0,0.0,0.7320588235294118,0.7320588235294118,0.7005882352941176,0.03147058823529414
