benchmark,step,status,n_problems,n_samples,acc_base,acc_now,mean_conf_all,mean_conf_wrong_now,mean_conf_wrong_base,conf_wrong_delta
math500,20,regressed,3,6,0.6666666666666666,0.0,0.9800000000000001,0.9800000000000001,1.0,-0.019999999999999907
math500,20,retained,83,166,0.9337349397590361,0.9518072289156626,0.9828313253012047,0.8625,0.7272727272727273,0.13522727272727275
math500,20,still_wrong,13,26,0.0,0.0,0.7269230769230769,0.7269230769230769,0.7250000000000001,0.0019230769230768052
math500,30,gained,2,4,0.0,0.5,0.7375,0.5,0.75,-0.25
math500,30,regressed,4,8,0.625,0.0,0.85375,0.85375,0.6666666666666666,0.18708333333333338
math500,30,retained,82,164,0.9390243902439024,0.9634146341463414,0.9903048780487803,0.8250000000000001,0.8,0.025000000000000022
math500,30,still_wrong,12,24,0.0,0.0,0.78125,0.78125,0.74375,0.03749999999999998
math500,40,gained,3,6,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.33333333333333337
math500,40,regressed,3,6,0.6666666666666666,0.0,0.8166666666666668,0.8166666666666668,0.5,0.31666666666666676
math500,40,retained,83,166,0.9337349397590361,0.9397590361445783,0.9831325301204819,0.79,0.8181818181818182,-0.028181818181818197
math500,40,still_wrong,11,22,0.0,0.0,0.7227272727272728,0.7227272727272728,0.765909090909091,-0.04318181818181821
math500,50,gained,2,4,0.0,0.75,0.9875,1.0,0.5,0.5
math500,50,regressed,3,6,0.6666666666666666,0.0,0.9716666666666668,0.9716666666666668,0.5,0.4716666666666668
math500,50,retained,83,166,0.9337349397590361,0.963855421686747,0.9903614457831323,0.8250000000000001,0.8181818181818182,0.006818181818181834
math500,50,still_wrong,12,24,0.0,0.0,0.8270833333333334,0.8270833333333334,0.7854166666666668,0.04166666666666663
math500,60,gained,1,2,0.0,0.5,0.5,0.0,0.5,-0.5
math500,60,regressed,3,6,0.6666666666666666,0.0,0.8333333333333334,0.8333333333333334,0.5,0.33333333333333337
math500,60,retained,83,166,0.9337349397590361,0.963855421686747,0.9932530120481927,0.9883333333333333,0.8181818181818182,0.17015151515151505
math500,60,still_wrong,13,26,0.0,0.0,0.7980769230769231,0.7980769230769231,0.7634615384615385,0.0346153846153846
math500,70,gained,3,6,0.0,0.5,0.9833333333333334,0.9833333333333334,0.8333333333333334,0.15000000000000002
math500,70,regressed,3,6,0.6666666666666666,0.0,0.8166666666666668,0.8166666666666668,0.5,0.31666666666666676
math500,70,retained,83,166,0.9337349397590361,0.963855421686747,0.994578313253012,0.9833333333333334,0.8181818181818182,0.16515151515151516
math500,70,still_wrong,11,22,0.0,0.0,0.8068181818181818,0.8068181818181818,0.7204545454545455,0.08636363636363631
