benchmark,step,n_problems,acc_point,acc_lo,acc_hi,acc_ci_width,ece_point,ece_lo,ece_hi,ece_ci_width,brier_point,brier_lo,brier_hi,brier_ci_width,auroc_point,auroc_lo,auroc_hi,auroc_ci_width,conf_gap_point,conf_gap_lo,conf_gap_hi,conf_gap_ci_width
aime24,0,30,0.20833333333333334,0.1,0.3333333333333333,0.2333333333333333,0.42974999999999997,0.3218979166666667,0.5430875000000001,0.22118958333333338,0.42506250000000007,0.31909775,0.5345884166666665,0.21549066666666644,0.7332631578947368,0.6218349673202614,0.8357256221064815,0.21389065478622005,0.40747368421052643,0.27533375610219635,0.5405996558945217,0.2652658997923254
aime24,10,30,0.225,0.11645833333333334,0.3502083333333322,0.23374999999999885,0.3447499999999999,0.2395770833333333,0.4613395833333332,0.2217624999999999,0.3423658333333333,0.24050252083333332,0.4546084791666666,0.21410595833333326,0.7644364794902428,0.6610203598484848,0.8501468976298718,0.189126537781387,0.5250537634408603,0.3940347439916405,0.6399084804276913,0.24587373643605082
aime24,20,30,0.2,0.09166666666666666,0.31687499999999885,0.22520833333333218,0.3827499999999999,0.27874999999999994,0.49825208333333343,0.2195020833333335,0.37667749999999994,0.27805858333333333,0.4869448958333332,0.2088863124999999,0.7740885416666666,0.6671562830495185,0.8665305030114812,0.1993742199619627,0.48927083333333327,0.3544137604493207,0.6085200184032684,0.2541062579539477
aime24,30,30,0.25,0.13333333333333333,0.38333333333333336,0.25,0.42366666666666664,0.2937833333333333,0.5577541666666667,0.2639708333333334,0.420705,0.29623618749999997,0.54777025,0.25153406250000004,0.6801851851851852,0.5657485284830112,0.7965337310472776,0.2307852025642665,0.3973333333333332,0.25118548681368486,0.5434074463818387,0.29222195956815383
aime24,40,30,0.25,0.125,0.39166666666666666,0.26666666666666666,0.41541666666666677,0.2991666666666667,0.5221041666666668,0.22293750000000012,0.41006249999999994,0.29756249999999995,0.5131953124999998,0.21563281249999988,0.7374074074074074,0.6227270199550367,0.8421843915782493,0.21945737162321266,0.4149999999999998,0.30216956521739147,0.5281483353400519,0.22597877012266043
aime24,50,30,0.24166666666666667,0.125,0.39166666666666666,0.26666666666666666,0.34883333333333344,0.2258104166666667,0.46292916666666656,0.23711874999999985,0.34372333333333327,0.22726183333333333,0.45230912499999987,0.22504729166666654,0.7898825312618416,0.6896456991284577,0.878327236843857,0.1886815377153993,0.5081697612732095,0.36736602870813384,0.6504188762626263,0.28305284755449245
aime24,60,30,0.25833333333333336,0.13333333333333333,0.39187499999999886,0.25854166666666556,0.3750833333333335,0.2689875,0.48933333333333345,0.22034583333333346,0.3696508333333333,0.269751875,0.4779666458333332,0.20821477083333323,0.7883291047480971,0.6992289337547367,0.868426688508822,0.16919775475408527,0.46730337078651674,0.34349361111111093,0.5948087515413094,0.2513151404301985
aime24,70,30,0.14166666666666666,0.041666666666666664,0.25833333333333336,0.2166666666666667,0.44758333333333333,0.3329020833333334,0.5596708333333333,0.22676874999999996,0.4382225,0.32639929166666665,0.5459747083333331,0.2195754166666664,0.7247287264420331,0.5860561129691565,0.8571476596017161,0.27109154663255963,0.4442775556824671,0.3282730132253064,0.5617365522090706,0.2334635389837642
amc24,0,45,0.45555555555555555,0.3333333333333333,0.5777777777777777,0.2444444444444444,0.37866666666666665,0.26087499999999997,0.4980083333333333,0.2371333333333333,0.36948666666666663,0.2585655833333333,0.4825240833333333,0.2239585,0.792931806869089,0.6983506942489316,0.8855398021403682,0.1871891078914366,0.2834345445495272,0.13737307004222446,0.43749648725887097,0.3001234172166465
amc24,10,45,0.4666666666666667,0.34444444444444444,0.5888888888888889,0.24444444444444446,0.37244444444444436,0.2613305555555555,0.4884749999999997,0.2271444444444442,0.3652377777777777,0.2585015833333333,0.47655636111111105,0.21805477777777776,0.7956349206349207,0.694164796074029,0.8839357505124761,0.18977095443844705,0.2851488095238097,0.14344971254355388,0.4396111401853715,0.29616142764181763
amc24,20,45,0.45555555555555555,0.32222222222222224,0.5888888888888889,0.26666666666666666,0.39266666666666655,0.27064999999999995,0.5195555555555555,0.2489055555555556,0.38399555555555553,0.26609638888888887,0.5078416388888888,0.2417452499999999,0.7787456445993032,0.6651529281584428,0.883113194092292,0.2179602659338492,0.26399203583872566,0.13034037433155102,0.41183080663615534,0.28149043230460435
amc24,30,45,0.43333333333333335,0.3,0.5666666666666667,0.26666666666666666,0.3732222222222221,0.24665277777777767,0.5053361111111111,0.25868333333333343,0.36650111111111117,0.24448480555555557,0.49490536111111105,0.2504205555555555,0.7735042735042734,0.6669956140350877,0.8660724206349206,0.19907680659983296,0.3255354449472101,0.17225576044164892,0.4934908949451805,0.3212351345035316
amc24,40,45,0.4888888888888889,0.36666666666666664,0.6111111111111112,0.24444444444444452,0.3522222222222221,0.23665277777777774,0.4739027777777776,0.23724999999999988,0.34738888888888886,0.23708541666666663,0.4655194444444443,0.2284340277777777,0.7717391304347827,0.6669092453179194,0.8611145833333332,0.19420533801541384,0.2930830039525695,0.14285813197536962,0.4484145591250855,0.30555642714971587
amc24,50,45,0.45555555555555555,0.3333333333333333,0.5777777777777777,0.2444444444444444,0.3601111111111111,0.2423333333333333,0.4749999999999999,0.23266666666666663,0.35109,0.23858280555555555,0.46287647222222217,0.2242936666666666,0.8031358885017421,0.7121720679012346,0.8844120303323677,0.17223996243113315,0.32378795420607276,0.1885404679437337,0.4792078771335153,0.2906674091897816
amc24,60,45,0.4777777777777778,0.34444444444444444,0.6111111111111112,0.2666666666666667,0.3696666666666666,0.2529944444444444,0.4910083333333332,0.2380138888888888,0.3648944444444444,0.2530488888888889,0.48271055555555553,0.22966166666666665,0.7548243443839683,0.6432700451722191,0.8611721837944664,0.21790213862224728,0.2654082137555668,0.13646398809523838,0.4025043090431004,0.266040320947862
amc24,70,45,0.4,0.2777777777777778,0.5333333333333333,0.25555555555555554,0.419111111111111,0.29755,0.5363611111111108,0.23881111111111086,0.4103666666666666,0.2931356666666667,0.5221719444444444,0.22903627777777769,0.7484567901234568,0.6348640716167889,0.8456972091018141,0.2108331374850252,0.2806481481481483,0.1384069773825209,0.4254197116613469,0.287012734278826
math500,0,100,0.795,0.72,0.865,0.14500000000000002,0.14954999999999996,0.09204749999999998,0.21515375,0.12310625000000003,0.1537665,0.09470306249999999,0.21877353749999995,0.12407047499999996,0.6114434729252953,0.5217534999113946,0.7085793650793651,0.1868258651679705,0.24164902592422155,0.10036539847385685,0.40840678230284205,0.3080413838289852
math500,10,100,0.81,0.735,0.88,0.14500000000000002,0.1494000000000001,0.09024374999999997,0.21400374999999994,0.12375999999999997,0.151277,0.0931457,0.214777625,0.121631925,0.6602501624431449,0.5613831269349846,0.7546308885832756,0.19324776164829105,0.19029239766081862,0.04475788193959687,0.3491454274891774,0.3043875455495805
math500,20,100,0.795,0.7198749999999999,0.86,0.14012500000000006,0.16465000000000002,0.09963750000000007,0.2339025000000001,0.13426500000000002,0.1670645,0.10318348750000002,0.2355424125,0.13235892499999996,0.6401288541187299,0.5410724272628534,0.7420221316896998,0.20094970442684634,0.1919205399601165,0.04700094895793544,0.3698315214633423,0.32283057250540687
math500,30,100,0.8,0.725,0.87,0.14500000000000002,0.15469999999999998,0.09334625000000002,0.22337124999999994,0.13002499999999992,0.15555599999999997,0.096196925,0.2232746125,0.12707768749999998,0.693046875,0.6032422817456845,0.7876993371938437,0.18445705544815916,0.20806250000000004,0.07232783899110914,0.37207278723730625,0.29974494824619713
math500,40,100,0.8,0.725,0.87,0.14500000000000002,0.15000000000000002,0.09049375000000001,0.21924999999999994,0.12875624999999993,0.15225,0.0936309375,0.22026343749999996,0.12663249999999998,0.65359375,0.553524401766728,0.7609940643324875,0.2074696625657595,0.2281249999999998,0.07722330237500213,0.40826952994921745,0.3310462275742153
math500,50,100,0.815,0.74,0.885,0.14500000000000002,0.15515000000000012,0.09050000000000001,0.2281125,0.13761249999999997,0.15653949999999997,0.09329937499999999,0.22703794999999982,0.13373857499999983,0.6428452992870171,0.5414207825402445,0.7555480097052237,0.21412722716497923,0.14145415354004298,0.00828355211598751,0.3111389522462566,0.30285540013026907
math500,60,100,0.805,0.73,0.875,0.14500000000000002,0.15315,0.09274374999999997,0.22005374999999996,0.12730999999999998,0.15713949999999996,0.09586218750000002,0.22301769999999999,0.12715551249999996,0.6243032329988851,0.5248051332166903,0.7284158208622701,0.20361068764557977,0.18117056856187286,0.0432902760526268,0.34421895150624726,0.30092867545362045
math500,70,100,0.815,0.745,0.885,0.14,0.15324999999999994,0.094,0.21350624999999998,0.11950624999999998,0.1553375,0.09637437499999998,0.214325,0.117950625,0.6576023876637374,0.5483890552171313,0.7658282680832575,0.21743921286612622,0.14343392472226835,0.04418990015360983,0.2518545926690591,0.20766469251544925
