step,benchmark,difficulty,n,acc,mean_verbal,mean_logits,mean_words
0,aime24,easy,28,0.7857142857142857,0.8767857142857143,0.8640860941414668,613.9642857142857
0,aime24,hard,92,0.03260869565217391,0.543695652173913,0.788547825689101,1100.4130434782608
0,amc24,easy,54,0.7592592592592593,0.9122222222222222,0.8697881087966953,589.1481481481482
0,amc24,hard,36,0.0,0.7172222222222222,0.8381628927654384,775.1388888888889
0,math500,easy,172,0.9244186046511628,0.9770930232558139,0.886904759240474,291.6046511627907
0,math500,hard,28,0.0,0.7446428571428572,0.8564155528281244,511.25
10,aime24,easy,28,0.7857142857142857,0.9460714285714286,0.8542726693296325,632.25
10,aime24,hard,92,0.05434782608695652,0.4552173913043478,0.7889635524155076,1107.7717391304348
10,amc24,easy,54,0.7222222222222222,0.932037037037037,0.8615570004986877,559.0
10,amc24,hard,36,0.08333333333333333,0.6997222222222221,0.8393032969635563,799.6111111111111
10,math500,easy,172,0.9302325581395349,0.9894186046511628,0.8885458268303037,272.7732558139535
10,math500,hard,28,0.07142857142857142,0.775,0.8458103454501401,538.5357142857143
20,aime24,easy,28,0.7142857142857143,0.9725,0.8510925366812365,640.25
20,aime24,hard,92,0.043478260869565216,0.4641304347826086,0.7864764016957223,1153.6630434782608
20,amc24,easy,54,0.7222222222222222,0.9157407407407407,0.8589272524111741,578.3888888888889
20,amc24,hard,36,0.05555555555555555,0.7469444444444444,0.8387217376984195,752.1666666666666
20,math500,easy,172,0.9186046511627907,0.9827325581395349,0.8901339908605783,280.3953488372093
20,math500,hard,28,0.03571428571428571,0.7464285714285713,0.8616884520315562,526.1785714285714
30,aime24,easy,28,0.75,0.8739285714285714,0.8573986877945216,621.0
30,aime24,hard,92,0.09782608695652174,0.6127173913043478,0.7817073743697603,1036.7826086956522
30,amc24,easy,54,0.7037037037037037,0.8972222222222223,0.8636555391632368,571.9074074074074
30,amc24,hard,36,0.027777777777777776,0.6705555555555556,0.8350978134154614,851.4166666666666
30,math500,easy,172,0.9186046511627907,0.9839534883720931,0.8880094200133395,286.33720930232556
30,math500,hard,28,0.07142857142857142,0.775,0.8492530377690916,576.8928571428571
40,aime24,easy,28,0.8214285714285714,0.9446428571428571,0.8554590090044975,600.7142857142857
40,aime24,hard,92,0.07608695652173914,0.5804347826086956,0.7815717306203321,1064.9347826086957
40,amc24,easy,54,0.7777777777777778,0.9351851851851852,0.8654207320039224,567.5925925925926
40,amc24,hard,36,0.05555555555555555,0.7,0.8511906276704376,811.8611111111111
40,math500,easy,172,0.9069767441860465,0.9773255813953488,0.8901877022172717,281.3779069767442
40,math500,hard,28,0.14285714285714285,0.7821428571428571,0.8559469178317797,493.39285714285717
50,aime24,easy,28,0.8214285714285714,0.9446428571428571,0.8579523148717351,588.5
50,aime24,hard,92,0.06521739130434782,0.48271739130434776,0.7866698798386954,1094.1521739130435
50,amc24,easy,54,0.7037037037037037,0.879074074074074,0.8579142884810186,570.9629629629629
50,amc24,hard,36,0.08333333333333333,0.7205555555555555,0.8338676724265321,776.8888888888889
50,math500,easy,172,0.9302325581395349,0.9897093023255813,0.8902405766703446,280.5988372093023
50,math500,hard,28,0.10714285714285714,0.85,0.859774975174438,508.25
60,aime24,easy,28,0.8571428571428571,0.9457142857142857,0.8575251423646194,607.8571428571429
60,aime24,hard,92,0.07608695652173914,0.5383695652173913,0.7894057308174173,1087.3152173913043
60,amc24,easy,54,0.7777777777777778,0.9301851851851851,0.8595023061811559,592.1851851851852
60,amc24,hard,36,0.027777777777777776,0.7233333333333333,0.8382288640065122,770.25
60,math500,easy,172,0.9302325581395349,0.9876744186046511,0.8911617509715145,290.05232558139534
60,math500,hard,28,0.03571428571428571,0.7767857142857143,0.8425727283961875,555.0714285714286
70,aime24,easy,28,0.6071428571428571,0.8321428571428572,0.854832032369922,641.9285714285714
70,aime24,hard,92,0.0,0.5153260869565217,0.783972796071463,1093.6630434782608
70,amc24,easy,54,0.6111111111111112,0.8762962962962964,0.8653604666392763,559.4444444444445
70,amc24,hard,36,0.08333333333333333,0.7333333333333333,0.8497954237921168,747.5
70,math500,easy,172,0.9302325581395349,0.9883720930232558,0.888843516575065,285.3662790697674
70,math500,hard,28,0.10714285714285714,0.8446428571428571,0.8632053678928314,525.1071428571429
