step,benchmark,correct,bin_lo,bin_hi,count,frac
0,math500,1,0.35000000000000003,0.4,0,0.0
0,math500,1,0.4,0.45,0,0.0
0,math500,1,0.45,0.5,0,0.0
0,math500,1,0.5,0.55,0,0.0
0,math500,1,0.55,0.6000000000000001,0,0.0
0,math500,1,0.6000000000000001,0.65,0,0.0
0,math500,1,0.65,0.7000000000000001,0,0.0
0,math500,1,0.7000000000000001,0.75,0,0.0
0,math500,1,0.75,0.8,0,0.0
0,math500,1,0.8,0.8500000000000001,0,0.0
0,math500,1,0.8500000000000001,0.9,0,0.0
0,math500,1,0.9,0.9500000000000001,18,0.11320754716981132
0,math500,1,0.9500000000000001,1.0,141,0.8867924528301887
10,aime24,0,0.0,0.05,50,0.5376344086021505
10,aime24,0,0.05,0.1,0,0.0
10,aime24,0,0.1,0.15000000000000002,0,0.0
10,aime24,0,0.15000000000000002,0.2,0,0.0
10,aime24,0,0.2,0.25,0,0.0
10,aime24,0,0.25,0.30000000000000004,0,0.0
10,aime24,0,0.30000000000000004,0.35000000000000003,0,0.0
10,aime24,0,0.35000000000000003,0.4,0,0.0
10,aime24,0,0.4,0.45,0,0.0
10,aime24,0,0.45,0.5,0,0.0
10,aime24,0,0.5,0.55,0,0.0
10,aime24,0,0.55,0.6000000000000001,0,0.0
10,aime24,0,0.6000000000000001,0.65,0,0.0
10,aime24,0,0.65,0.7000000000000001,0,0.0
10,aime24,0,0.7000000000000001,0.75,0,0.0
10,aime24,0,0.75,0.8,0,0.0
10,aime24,0,0.8,0.8500000000000001,0,0.0
10,aime24,0,0.8500000000000001,0.9,0,0.0
10,aime24,0,0.9,0.9500000000000001,18,0.1935483870967742
10,aime24,0,0.9500000000000001,1.0,25,0.26881720430107525
10,aime24,1,0.0,0.05,0,0.0
10,aime24,1,0.05,0.1,0,0.0
10,aime24,1,0.1,0.15000000000000002,0,0.0
10,aime24,1,0.15000000000000002,0.2,0,0.0
10,aime24,1,0.2,0.25,0,0.0
10,aime24,1,0.25,0.30000000000000004,0,0.0
10,aime24,1,0.30000000000000004,0.35000000000000003,0,0.0
10,aime24,1,0.35000000000000003,0.4,0,0.0
10,aime24,1,0.4,0.45,0,0.0
10,aime24,1,0.45,0.5,0,0.0
10,aime24,1,0.5,0.55,0,0.0
10,aime24,1,0.55,0.6000000000000001,0,0.0
10,aime24,1,0.6000000000000001,0.65,0,0.0
10,aime24,1,0.65,0.7000000000000001,0,0.0
10,aime24,1,0.7000000000000001,0.75,0,0.0
10,aime24,1,0.75,0.8,0,0.0
10,aime24,1,0.8,0.8500000000000001,0,0.0
10,aime24,1,0.8500000000000001,0.9,0,0.0
10,aime24,1,0.9,0.9500000000000001,12,0.4444444444444444
10,aime24,1,0.9500000000000001,1.0,15,0.5555555555555556
10,amc24,0,0.0,0.05,13,0.2708333333333333
10,amc24,0,0.05,0.1,0,0.0
10,amc24,0,0.1,0.15000000000000002,0,0.0
10,amc24,0,0.15000000000000002,0.2,0,0.0
10,amc24,0,0.2,0.25,0,0.0
10,amc24,0,0.25,0.30000000000000004,0,0.0
10,amc24,0,0.30000000000000004,0.35000000000000003,0,0.0
10,amc24,0,0.35000000000000003,0.4,0,0.0
10,amc24,0,0.4,0.45,0,0.0
10,amc24,0,0.45,0.5,0,0.0
10,amc24,0,0.5,0.55,0,0.0
10,amc24,0,0.55,0.6000000000000001,0,0.0
10,amc24,0,0.6000000000000001,0.65,0,0.0
10,amc24,0,0.65,0.7000000000000001,0,0.0
10,amc24,0,0.7000000000000001,0.75,0,0.0
10,amc24,0,0.75,0.8,0,0.0
10,amc24,0,0.8,0.8500000000000001,1,0.020833333333333332
10,amc24,0,0.8500000000000001,0.9,0,0.0
10,amc24,0,0.9,0.9500000000000001,17,0.3541666666666667
10,amc24,0,0.9500000000000001,1.0,17,0.3541666666666667
10,amc24,1,0.0,0.05,0,0.0
10,amc24,1,0.05,0.1,0,0.0
10,amc24,1,0.1,0.15000000000000002,0,0.0
10,amc24,1,0.15000000000000002,0.2,0,0.0
10,amc24,1,0.2,0.25,0,0.0
10,amc24,1,0.25,0.30000000000000004,0,0.0
10,amc24,1,0.30000000000000004,0.35000000000000003,0,0.0
10,amc24,1,0.35000000000000003,0.4,0,0.0
10,amc24,1,0.4,0.45,0,0.0
10,amc24,1,0.45,0.5,0,0.0
10,amc24,1,0.5,0.55,0,0.0
10,amc24,1,0.55,0.6000000000000001,0,0.0
10,amc24,1,0.6000000000000001,0.65,0,0.0
10,amc24,1,0.65,0.7000000000000001,0,0.0
10,amc24,1,0.7000000000000001,0.75,0,0.0
10,amc24,1,0.75,0.8,0,0.0
10,amc24,1,0.8,0.8500000000000001,0,0.0
10,amc24,1,0.8500000000000001,0.9,0,0.0
10,amc24,1,0.9,0.9500000000000001,7,0.16666666666666666
10,amc24,1,0.9500000000000001,1.0,35,0.8333333333333334
10,math500,0,0.0,0.05,7,0.18421052631578946
10,math500,0,0.05,0.1,0,0.0
10,math500,0,0.1,0.15000000000000002,0,0.0
10,math500,0,0.15000000000000002,0.2,0,0.0
10,math500,0,0.2,0.25,0,0.0
10,math500,0,0.25,0.30000000000000004,0,0.0
10,math500,0,0.30000000000000004,0.35000000000000003,0,0.0
10,math500,0,0.35000000000000003,0.4,0,0.0
10,math500,0,0.4,0.45,0,0.0
10,math500,0,0.45,0.5,0,0.0
10,math500,0,0.5,0.55,0,0.0
10,math500,0,0.55,0.6000000000000001,0,0.0
10,math500,0,0.6000000000000001,0.65,0,0.0
10,math500,0,0.65,0.7000000000000001,0,0.0
10,math500,0,0.7000000000000001,0.75,0,0.0
10,math500,0,0.75,0.8,0,0.0
10,math500,0,0.8,0.8500000000000001,0,0.0
10,math500,0,0.8500000000000001,0.9,0,0.0
10,math500,0,0.9,0.9500000000000001,8,0.21052631578947367
10,math500,0,0.9500000000000001,1.0,23,0.6052631578947368
10,math500,1,0.0,0.05,0,0.0
10,math500,1,0.05,0.1,0,0.0
10,math500,1,0.1,0.15000000000000002,0,0.0
10,math500,1,0.15000000000000002,0.2,0,0.0
10,math500,1,0.2,0.25,0,0.0
10,math500,1,0.25,0.30000000000000004,0,0.0
10,math500,1,0.30000000000000004,0.35000000000000003,0,0.0
10,math500,1,0.35000000000000003,0.4,0,0.0
10,math500,1,0.4,0.45,0,0.0
10,math500,1,0.45,0.5,0,0.0
10,math500,1,0.5,0.55,0,0.0
10,math500,1,0.55,0.6000000000000001,0,0.0
10,math500,1,0.6000000000000001,0.65,0,0.0
10,math500,1,0.65,0.7000000000000001,0,0.0
